Student_ID,Gender,Branch,CGPA,Internships,Backlogs,Programming_Skills,Aptitude_Score,Communication_Skills,Extra_Certifications,Placement_Status
STU0001,Male,IT,7.66,2,0,Beginner,97.6,Average,0,Placed
STU0002,Female,IT,8.44,1,2,Advanced,75.5,Average,3,Placed
STU0003,Female,ECE,7.16,1,2,Beginner,76.8,Average,1,Not Placed
STU0004,Male,ME,6.14,1,1,Intermediate,55.4,Good,3,Placed
STU0005,Male,ME,6.82,2,0,Advanced,65.9,Poor,2,Placed
STU0006,Male,CE,8.02,2,1,Beginner,99.6,Average,4,Placed
STU0007,Male,IT,7.21,1,1,Intermediate,46.8,Average,2,Not Placed
STU0008,Female,CSE,5.79,2,2,Intermediate,71.8,Good,1,Placed
STU0009,Female,IT,7.6,0,0,Advanced,89.2,Average,3,Placed
STU0010,Female,IT,7.77,1,0,Advanced,79.5,Average,0,Placed
STU0011,Male,CE,6.64,1,0,Intermediate,92.0,Poor,5,Placed
STU0012,Female,CSE,7.61,1,0,Intermediate,68.2,Average,3,Placed
STU0013,Female,CE,7.25,2,1,Advanced,74.1,Good,1,Placed
STU0014,Male,CSE,6.8,2,0,Intermediate,66.6,Average,0,Not Placed
STU0015,Male,ECE,5.71,0,4,Intermediate,73.0,Good,2,Not Placed
STU0016,Male,CSE,8.08,1,0,Intermediate,51.3,Poor,4,Placed
STU0017,Male,CE,7.76,1,0,Intermediate,76.9,Good,4,Placed
STU0018,Male,IT,7.58,0,2,Beginner,69.4,Average,3,Not Placed
STU0019,Male,CSE,8.54,0,0,Beginner,65.9,Poor,2,Not Placed
STU0020,Male,CSE,7.95,1,2,Beginner,91.2,Average,5,Placed
STU0021,Female,ME,7.69,0,2,Advanced,61.0,Good,5,Placed
STU0022,Male,IT,4.79,0,0,Intermediate,83.1,Good,1,Not Placed
STU0023,Male,ECE,8.2,0,0,Intermediate,84.6,Average,4,Placed
STU0024,Male,CE,7.08,1,0,Intermediate,77.8,Good,2,Placed
STU0025,Male,ECE,7.31,2,0,Beginner,50.5,Poor,3,Not Placed
STU0026,Female,IT,7.32,1,0,Intermediate,70.4,Poor,0,Placed
STU0027,Male,CSE,7.77,3,0,Intermediate,94.4,Average,3,Placed
STU0028,Male,CSE,8.12,1,0,Intermediate,37.7,Average,3,Placed
STU0029,Male,IT,7.63,2,1,Advanced,62.2,Good,2,Placed
STU0030,Male,CSE,7.48,2,2,Intermediate,82.4,Average,4,Placed
STU0031,Female,CSE,7.23,1,1,Intermediate,63.3,Poor,2,Not Placed
STU0032,Male,CSE,4.0,1,0,Intermediate,77.1,Average,0,Placed
STU0033,Male,CE,6.71,2,0,Advanced,86.1,Poor,2,Placed
STU0034,Female,CE,6.06,0,4,Intermediate,68.5,Poor,1,Not Placed
STU0035,Female,ME,8.21,1,1,Beginner,72.6,Average,3,Placed
STU0036,Female,ECE,7.62,1,4,Intermediate,66.4,Average,4,Placed
STU0037,Male,IT,6.54,1,0,Intermediate,69.5,Average,5,Placed
STU0038,Male,IT,6.64,0,2,Intermediate,96.5,Average,0,Not Placed
STU0039,Female,IT,6.61,3,1,Beginner,64.0,Poor,5,Not Placed
STU0040,Male,ME,6.59,1,0,Advanced,59.7,Poor,3,Placed
STU0041,Male,CE,5.56,1,1,Advanced,80.6,Average,2,Placed
STU0042,Male,ME,5.34,3,1,Beginner,52.4,Poor,5,Not Placed
STU0043,Male,IT,7.03,1,0,Advanced,55.8,Average,1,Placed
STU0044,Female,ECE,8.08,3,0,Beginner,55.9,Poor,2,Placed
STU0045,Male,CSE,6.46,1,3,Beginner,61.2,Average,3,Not Placed
STU0046,Female,CE,7.3,0,4,Beginner,61.8,Poor,5,Not Placed
STU0047,Male,CE,7.73,2,0,Beginner,75.5,Poor,0,Placed
STU0048,Male,ME,6.01,1,0,Advanced,59.9,Average,5,Placed
STU0049,Male,CE,6.98,2,0,Beginner,76.1,Good,5,Placed
STU0050,Male,IT,6.33,3,2,Beginner,78.0,Poor,4,Not Placed
STU0051,Female,IT,8.61,2,0,Beginner,55.2,Average,5,Placed
STU0052,Female,ME,8.56,1,5,Beginner,77.6,Good,3,Placed
STU0053,Female,IT,6.01,2,0,Beginner,79.0,Average,0,Not Placed
STU0054,Female,ECE,7.39,1,0,Intermediate,38.6,Good,3,Placed
STU0055,Male,ME,8.07,1,2,Beginner,69.4,Poor,1,Not Placed
STU0056,Female,ECE,7.85,2,3,Advanced,57.4,Good,2,Placed
STU0057,Male,CSE,7.08,0,1,Advanced,84.5,Average,5,Not Placed
STU0058,Male,ECE,8.31,2,1,Beginner,57.3,Average,4,Placed
STU0059,Male,CSE,6.1,2,5,Advanced,44.9,Good,0,Placed
STU0060,Male,CSE,6.7,2,0,Beginner,64.6,Average,4,Not Placed
STU0061,Male,ECE,6.12,1,4,Beginner,51.5,Average,4,Not Placed
STU0062,Male,ME,7.78,2,0,Beginner,77.7,Good,4,Placed
STU0063,Female,IT,6.42,1,3,Intermediate,52.9,Average,5,Not Placed
STU0064,Male,IT,6.83,2,2,Intermediate,64.7,Poor,0,Not Placed
STU0065,Male,CSE,7.62,0,0,Intermediate,88.2,Average,0,Placed
STU0066,Male,CSE,7.7,0,4,Intermediate,81.5,Poor,4,Placed
STU0067,Male,ME,6.09,0,0,Intermediate,72.2,Good,2,Not Placed
STU0068,Female,CE,8.06,1,0,Beginner,63.1,Good,5,Placed
STU0069,Male,ECE,7.46,1,1,Intermediate,70.7,Average,5,Placed
STU0070,Female,CSE,5.92,2,0,Beginner,75.3,Average,3,Placed
STU0071,Female,IT,5.67,1,2,Beginner,50.2,Poor,5,Not Placed
STU0072,Male,ME,6.98,1,0,Beginner,77.8,Poor,4,Placed
STU0073,Male,ECE,7.85,0,0,Beginner,48.5,Good,1,Not Placed
STU0074,Female,ME,7.88,1,0,Intermediate,73.6,Poor,4,Placed
